Day,Class,1A subject,1A teachers,1A room,1B subject,1B teachers,1B room,2A subject,2A teachers,2A room,2B subject,2B teachers,2B room,3A subject,3A teachers,3A room,3B subject,3B teachers,3B room,4A subject,4A teachers,4A room,4B subject,4B teachers,4B room
4,7,ค30101,[27],20,ค30101,[27],20,ว30131,[46],28,ว30131,[46],28,ค30102,[44],18,ค30102,[44],18,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,,,
4,8,,,,,,,,,,,,,ว30111,[19],5,ว30111,[19],5,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,,,
4,9,ว30101,[7],10,ว30101,[7],10,ว30121,[49],17,,,,ค30105,[5],21,ค30105,[5],21,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,ว30111,[29],22
4,10,,,,ศ30101,[39],7,ส30101,[9],19,ส30101,[9],19,ค30105,[1],16,ค30105,[1],16,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,ว30111,[16],26
5,1,ว30121,[32],19,Eng (A),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",29,ค30105,[5],4,,,,ค30102,[24],11,ค30102,[24],11,ศ30101,[39],15,,,
5,2,ว30111,[29],2,Eng (A),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",29,ค30102,[18],27,ค30102,[18],27,ว30131,[2],10,ว30131,[2],10,,,,ส30102,[36],19
5,3,ค30105,[24],4,Eng (A),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",29,ศ30101,[39],16,,,,,,,,,,ว30101,[43],13,ว30101,[43],13
5,4,ส30102,[36],27,Eng (A),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",29,ค30102,[48],17,ค30102,[48],17,,,,,,,,,,,,
5,5,,,,Eng (A),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",29,,,,ค30105,[26],7,ว30111,[16],6,ว30111,[16],6,ค30102,[48],2,ค30102,[48],2
5,6,,,,,,,ว30101,[43],13,ว30101,[43],13,ท30101,[15],28,ท30101,[15],28,ส30101,[9],1,ส30101,[9],1
5,7,,,,ค30101,[27],20,ว30143,[8],1,ว30143,[8],1,ค30102,[44],18,ค30102,[44],18,,,,ค30105,[24],5
5,8,ค30102,[26],22,ค30102,[26],22,,,,ว30111,[19],5,ค30105,[48],0,ค30105,[48],0,ว30101,[7],26,ว30101,[7],26
5,9,,,,,,,ว30131,[2],8,ว30131,[2],8,ค30101,[17],22,,,,ว30111,[29],22,ว30111,[29],22
5,10,ว30143,[3],25,ว30143,[3],25,,,,,,,ว30121,[32],26,ว30121,[32],26,พ30101,"[22, 50]",11,,,
